album,author,bits,date,download_password,download_url,file_format,info,language,music,size,title
选自专辑《Forever Love: 36 Greatest Hits 1980-2001(Disc 1)》,Air Supply,896Kbps,2014-08-24,od7r,http://pan.baidu.com/s/1mgLYIxi,ape,"选自专辑《Forever Love: 36 Greatest Hits 1980-2001(Disc 1)》,896Kbps,36.5M,英语,2014-08-24",英语,Making Love Out Of Nothing At All,36.5M,Air Supply - Making Love Out Of Nothing At All.ape
选自专辑《Alicia Keys-VH1 Storytellers (Live)》,Alicia Keys,862Kbps,2014-08-16,gl8s,http://pan.baidu.com/s/1ntkcKsx,ape,"选自专辑《Alicia Keys-VH1 Storytellers (Live)》,862Kbps,30.5M,英语,2014-08-16",英语,Girl On Fire,30.5M,Alicia Keys - Girl On Fire.ape
选自专辑《19 (Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1hskAN56,flac,"选自专辑《19 (Deluxe Edition)》,Kbps,20.6M,英语,2016-07-31",英语,My Same,20.6M,Adele - My Same.flac
选自专辑《Freedom》,Alicia Keys,854Kbps,2015-09-18,pxrs,http://pan.baidu.com/s/1eQuazXg,flac,"选自专辑《Freedom》,854Kbps,20.5M,英语,2015-09-18",英语,28 Thousand Days,20.5M,Alicia Keys - 28 Thousand Days.flac
选自专辑《Beginner》,AKB48,1120Kbps,2014-06-04,n2bq,http://pan.baidu.com/s/1eQIfzkI,ape,"选自专辑《Beginner》,1120Kbps,31.7M,日语,2014-06-04",日语,Beginner,31.7M,AKB48 - Beginner.ape
选自专辑《Alicia Keys-VH1 Storytellers (Live)》,Alicia Keys,861Kbps,2014-08-29,t3q7,http://pan.baidu.com/s/1cX7hc,ape,"选自专辑《Alicia Keys-VH1 Storytellers (Live)》,861Kbps,30.5M,英语,2014-08-29",英语,Girl On Fire,30.5M,Alicia Keys - Girl On Fire.ape
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1dFJmR9f,flac,"选自专辑《25》,Kbps,22.5M,国语,2016-08-01",国语,Remedy,22.5M,Adele - Remedy.flac
选自专辑《Chasing Pavements》,Adele,1411Kbps,2015-07-13,em38,http://pan.baidu.com/s/1eQpmeR4,wav,"选自专辑《Chasing Pavements》,1411Kbps,35.7M,英语,2015-07-13",英语,Chasing Pavements,35.7M,Adele - Chasing Pavements.wav
选自专辑《21》,Adele,Kbps,2016-07-29,无,http://pan.baidu.com/s/1dECQTLR,wav,"选自专辑《21》,Kbps,37.2M,国语,2016-07-29",国语,Rumour Has It,37.2M,Adele - Rumour Has It.wav
选自专辑《电视剧《新白娘子传奇》插曲》,左宏元,765Kbps,2015-02-09,m46j,http://pan.baidu.com/s/1pJwoxQz,ape,"选自专辑《电视剧《新白娘子传奇》插曲》,765Kbps,15.6M,国语,2015-02-09",国语,神仙歌,15.6M,左宏元 - 神仙歌.ape
选自专辑《新白娘子传奇 电视原声带》,左宏元,791Kbps,2013-12-15,1mmj,http://pan.baidu.com/s/1o6M8s46,ape,"选自专辑《新白娘子传奇 电视原声带》,791Kbps,18.5M,国语,2013-12-15",国语,渡情,18.5M,左宏元 - 渡情.ape
选自专辑《梦开始的地方》,邹宏宇,920Kbps,2013-10-29,mxwd,http://pan.baidu.com/s/1hqJwIA4,ape,"选自专辑《梦开始的地方》,920Kbps,27.8M,国语,2013-10-29",国语,灿烂人生路,27.8M,邹宏宇 - 灿烂人生路.ape
选自专辑《天蓝》,卓亚君,840Kbps,2014-06-28,d998,http://pan.baidu.com/s/1bnCMvmR,ape,"选自专辑《天蓝》,840Kbps,22.3M,国语,2014-06-28",国语,天蓝,22.3M,卓亚君 - 天蓝.ape
选自专辑《反正卓文萱》,卓文萱,966Kbps,2014-06-04,6y9u,http://pan.baidu.com/s/1c0CJP9Q,flac,"选自专辑《反正卓文萱》,966Kbps,25.5M,国语,2014-06-04",国语,不要不要,25.5M,卓文萱 - 不要不要.flac
选自专辑《最难忘的你》,祖海,1411Kbps,2015-05-06,hkir,http://pan.baidu.com/s/1sjmed8T,flac,"选自专辑《最难忘的你》,1411Kbps,30.9M,国语,2015-05-06",国语,为了谁,30.9M,祖海 - 为了谁.flac
选自专辑《天竺少女》,祖海,803Kbps,2015-08-10,nmak,http://pan.baidu.com/s/14ptym,flac,"选自专辑《天竺少女》,803Kbps,21.9M,国语,2015-08-10",国语,天竺少女,21.9M,祖海 - 天竺少女.flac
选自专辑《Play N Fun 1+1》,卓文萱,915Kbps,2014-06-09,w053,http://pan.baidu.com/s/1c08ak5y,ape,"选自专辑《Play N Fun 1+1》,915Kbps,27.4M,国语,2014-06-09",国语,一秒也好,27.4M,卓文萱 - 一秒也好.ape
选自专辑《中国风》,庄学忠,1411Kbps,2015-01-05,fg4y,http://pan.baidu.com/s/1dDlIyNR,wav,"选自专辑《中国风》,1411Kbps,650.1M,国语,2015-01-05",国语,专辑《中国风》整轨无损,650.1M,庄学忠 - 专辑《中国风》整轨无损.wav
选自专辑《Play N Fun 1+1》,卓文萱,867Kbps,2014-07-15,dos9,http://pan.baidu.com/s/1i3mmgBj,ape,"选自专辑《Play N Fun 1+1》,867Kbps,30.6M,国语,2014-07-15",国语,1+1,30.6M,卓文萱 - 1+1.ape
选自专辑《习惯》,卓文萱,899Kbps,2015-02-13,712o,http://pan.baidu.com/s/1kTsYRHl,flac,"选自专辑《习惯》,899Kbps,28.6M,国语,2015-02-13",国语,爱我好吗,28.6M,卓文萱 - 爱我好吗.flac
选自专辑《灼乐感》,卓文萱,944Kbps,2015-07-04,sd3v,http://pan.baidu.com/s/1gdtnmWN,flac,"选自专辑《灼乐感》,944Kbps,24.0M,国语,2015-07-04",国语,心爱的,24.0M,卓文萱 - 心爱的.flac
选自专辑《超级喜欢》,卓文萱,895Kbps,2015-08-06,xirg,http://pan.baidu.com/s/1i3nfGZr,ape,"选自专辑《超级喜欢》,895Kbps,30.5M,国语,2015-08-06",国语,一句话,30.5M,卓文萱 - 一句话.ape
选自专辑《超级喜欢》,卓文萱,1411Kbps,2015-08-09,hb8q,http://pan.baidu.com/s/1pJpBA5P,wav,"选自专辑《超级喜欢》,1411Kbps,30.9M,国语,2015-08-09",国语,超级喜欢,30.9M,卓文萱 - 超级喜欢.wav
选自专辑《灼乐感》,卓文萱,761Kbps,2015-08-11,q3b8,http://pan.baidu.com/s/1ntKNWPr,flac,"选自专辑《灼乐感》,761Kbps,23.2M,国语,2015-08-11",国语,幸福的理由,23.2M,卓文萱 - 幸福的理由.flac
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1bpoMHcV,wav,"选自专辑《灼乐感》,Kbps,110M,国语,2016-06-24",国语,黑马,110M,卓文萱 - 黑马.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1qYGg6CG,wav,"选自专辑《灼乐感》,Kbps,100M,国语,2016-06-24",国语,啾咪啾咪,100M,卓文萱 - 啾咪啾咪.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1geNAlvP,wav,"选自专辑《灼乐感》,Kbps,109M,国语,2016-06-24",国语,心爱的,109M,卓文萱 - 心爱的.wav
选自专辑《阿姐鼓》,朱哲琴,525Kbps,2014-02-23,84n2,http://pan.baidu.com/s/1mgt6soo,ape,"选自专辑《阿姐鼓》,525Kbps,21.9M,国语,2014-02-23",国语,阿姐鼓,21.9M,朱哲琴 - 阿姐鼓.ape
选自专辑《月出》,朱哲琴,828Kbps,2014-06-11,2ua5,http://pan.baidu.com/s/1sjEvyrz,flac,"选自专辑《月出》,828Kbps,294.3M,国语,2014-06-11",国语,专辑《月出》整轨无损,294.3M,朱哲琴 - 专辑《月出》整轨无损.flac
选自专辑《一个真实的故事精选》,朱哲琴,1411Kbps,2015-02-13,32jo,http://pan.baidu.com/s/1eQ2C2Wy,wav,"选自专辑《一个真实的故事精选》,1411Kbps,44.0M,国语,2015-02-13",国语,一个真实的故事,44.0M,朱哲琴 - 一个真实的故事.wav
选自专辑《一个真实的故事精选》,朱哲琴,710Kbps,2015-07-05,83fy,http://pan.baidu.com/s/1dDvtnhv,flac,"选自专辑《一个真实的故事精选》,710Kbps,30.5M,国语,2015-07-05",国语,黄孩子,30.5M,朱哲琴 - 黄孩子.flac
选自专辑《阿姐鼓》,朱哲琴,570Kbps,2015-08-09,ap4e,http://pan.baidu.com/s/1eQEWxYq,ape,"选自专辑《阿姐鼓》,570Kbps,30.8M,国语,2015-08-09",国语,天唱,30.8M,朱哲琴 - 天唱.ape
选自专辑《中国好声音第四季 第十二期》,朱强,Kbps,2016-04-11,nyhy,http://pan.baidu.com/s/1eSf14EA,flac,"选自专辑《中国好声音第四季 第十二期》,Kbps,19.6M,国语,2016-04-11",国语,但愿人长久,19.6M,朱强 - 但愿人长久.flac
选自专辑《信》,周子琰,833Kbps,2014-08-14,6ejr,http://pan.baidu.com/s/1jGIEMrk,ape,"选自专辑《信》,833Kbps,28.7M,国语,2014-08-14",国语,信,28.7M,周子琰 - 信.ape
选自专辑《中国歌典 1980's 改革开放的时代》,朱明瑛,1411Kbps,2015-04-23,bnv5,http://pan.baidu.com/s/1dDfaxxB,wav,"选自专辑《中国歌典 1980's 改革开放的时代》,1411Kbps,35.2M,国语,2015-04-23",国语,大海啊故乡,35.2M,朱明瑛 - 大海啊故乡.wav
选自专辑《中国好声音》,朱强,2304Kbps,2014-08-22,9w8h,http://pan.baidu.com/s/1bnkxsGv,wav,"选自专辑《中国好声音》,2304Kbps,59.8M,国语,2014-08-22",国语,菊花台,59.8M,朱强 - 菊花台.wav
选自专辑《中国好声音第四季 第一期》,朱强,Kbps,2016-04-23,t9xq,http://pan.baidu.com/s/1i5oOMAp,flac,"选自专辑《中国好声音第四季 第一期》,Kbps,19.6MBM,国语,2016-04-23",国语,但愿人长久,19.6MBM,朱强 - 但愿人长久.flac
选自专辑《我懂你》,周子琰,913Kbps,2015-08-09,tdt5,http://pan.baidu.com/s/1bnCuEuF,ape,"选自专辑《我懂你》,913Kbps,29.3M,国语,2015-08-09",国语,我懂你,29.3M,周子琰 - 我懂你.ape
选自专辑《记得我爱你》,周渝民,864Kbps,2015-06-02,2jvr,http://pan.baidu.com/s/1nt1M1NN,flac,"选自专辑《记得我爱你》,864Kbps,27.8M,国语,2015-06-02",国语,记得我爱你,27.8M,周渝民 - 记得我爱你.flac
选自专辑《风起来的时光》,周子琰,1411Kbps,2015-09-19,4n2q,http://pan.baidu.com/s/1ntKk6Kx,wav,"选自专辑《风起来的时光》,1411Kbps,47.8M,国语,2015-09-19",国语,风起来的时光,47.8M,周子琰 - 风起来的时光.wav
选自专辑《央金玛》,朱哲琴,751Kbps,2015-10-12,abu1,http://pan.baidu.com/s/1gd11JSf,ape,"选自专辑《央金玛》,751Kbps,224.3M,国语,2015-10-12",国语,专辑《央金玛》整轨无损,224.3M,朱哲琴 - 专辑《央金玛》整轨无损.ape
选自专辑《我不是F4》,周渝民,1082Kbps,2015-06-11,28gn,http://pan.baidu.com/s/1c0zx204,flac,"选自专辑《我不是F4》,1082Kbps,29.4M,国语,2015-06-11",国语,我不是f4,29.4M,周渝民 - 我不是f4.flac
选自专辑《男女情歌对唱冠军全记录》,周渝民,852Kbps,2015-08-09,wnge,http://pan.baidu.com/s/1jGL9MXS,flac,"选自专辑《男女情歌对唱冠军全记录》,852Kbps,30.5M,国语,2015-08-09",国语,让我爱你,30.5M,周渝民 - 让我爱你.flac
选自专辑《在这里等你》,周渝民,864Kbps,2015-09-19,qenr,http://pan.baidu.com/s/1jGERc2M,flac,"选自专辑《在这里等你》,864Kbps,25.7M,国语,2015-09-19",国语,残念,25.7M,周渝民 - 残念.flac
选自专辑《Make a Wish》,周渝民,1411Kbps,2015-10-11,ycdm,http://pan.baidu.com/s/1o67YT78,wav,"选自专辑《Make a Wish》,1411Kbps,47.2M,国语,2015-10-11",国语,爱在爱你,47.2M,周渝民 - 爱在爱你.wav
选自专辑《中国好声音》,朱强,2304Kbps,2014-08-23,7yhf,http://pan.baidu.com/s/1bnD38Az,wav,"选自专辑《中国好声音》,2304Kbps,55.6M,国语,2014-08-23",国语,卷珠帘,55.6M,朱强 - 卷珠帘.wav
选自专辑《国语经典101》,周治平,771Kbps,2014-09-05,afts,http://pan.baidu.com/s/1mgqkjmo,ape,"选自专辑《国语经典101》,771Kbps,29.3M,国语,2014-09-05",国语,青梅竹马,29.3M,周治平 - 青梅竹马.ape
选自专辑《风花雪月作品辑》,周治平,775Kbps,2014-09-05,yumv,http://pan.baidu.com/s/1eQIMGeA,ape,"选自专辑《风花雪月作品辑》,775Kbps,24.9M,国语,2014-09-05",国语,那一场风花雪月的事,24.9M,周治平 - 那一场风花雪月的事.ape
选自专辑《阿姐鼓》,朱哲琴,630Kbps,2015-10-17,5uus,http://pan.baidu.com/s/1i3JESVN,ape,"选自专辑《阿姐鼓》,630Kbps,22.4M,国语,2015-10-17",国语,卓玛的卓玛,22.4M,朱哲琴 - 卓玛的卓玛.ape
选自专辑《隽永作品辑》,周治平,838Kbps,2014-09-05,axfu,http://pan.baidu.com/s/1qWmEpK4,ape,"选自专辑《隽永作品辑》,838Kbps,30.3M,国语,2014-09-05",国语,筝,30.3M,周治平 - 筝.ape
选自专辑《国语经典101》,周治平,743Kbps,2014-09-05,s9ns,http://pan.baidu.com/s/1sjAsKzz,ape,"选自专辑《国语经典101》,743Kbps,26.0M,国语,2014-09-05",国语,梦不到你,26.0M,周治平 - 梦不到你.ape
选自专辑《花开花谢》,周治平,850Kbps,2014-09-05,62lb,http://pan.baidu.com/s/1sjoEc7F,ape,"选自专辑《花开花谢》,850Kbps,28.7M,国语,2014-09-05",国语,往事悠悠,28.7M,周治平 - 往事悠悠.ape
选自专辑《97白金精选》,周治平,842Kbps,2015-01-14,8wfe,http://pan.baidu.com/s/1gdrKlDh,flac,"选自专辑《97白金精选》,842Kbps,28.2M,国语,2015-01-14",国语,焚,28.2M,周治平 - 焚.flac
选自专辑《童周共聚演唱会LIVE》,周治平,867Kbps,2015-08-20,yheb,http://pan.baidu.com/s/1dDAV5Gd,ape,"选自专辑《童周共聚演唱会LIVE》,867Kbps,17.1M,国语,2015-08-20",国语,只能说遗憾,17.1M,周治平 - 只能说遗憾.ape
选自专辑《歌声依旧·真情难忘》,朱晓琳,808Kbps,2015-09-06,pbqp,http://pan.baidu.com/s/1mgIjXiC,flac,"选自专辑《歌声依旧·真情难忘》,808Kbps,19.3M,国语,2015-09-06",国语,梦回故乡,19.3M,朱晓琳 - 梦回故乡.flac
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1eR1r7Js,wav,"选自专辑《灼乐感》,Kbps,114M,国语,2016-06-24",国语,一颗钮扣,114M,卓文萱 - 一颗钮扣.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1kUONXBL,wav,"选自专辑《灼乐感》,Kbps,124M,国语,2016-06-24",国语,瘾,124M,卓文萱 - 瘾.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1jI0dJmu,wav,"选自专辑《灼乐感》,Kbps,132M,国语,2016-06-24",国语,"期待, 爱",132M,"卓文萱 - 期待, 爱.wav"
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1geIk6xP,wav,"选自专辑《灼乐感》,Kbps,131M,国语,2016-06-24",国语,幸福的理由,131M,卓文萱 - 幸福的理由.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1nvTdRXR,wav,"选自专辑《灼乐感》,Kbps,109M,国语,2016-06-24",国语,小心点,109M,卓文萱 - 小心点.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1pLla1tD,wav,"选自专辑《灼乐感》,Kbps,111M,国语,2016-06-24",国语,蒙娜丽莎的微笑,111M,卓文萱 - 蒙娜丽莎的微笑.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1bpfZnMR,wav,"选自专辑《灼乐感》,Kbps,121M,国语,2016-06-24",国语,beyourself,121M,卓文萱 - beyourself.wav
选自专辑《灼乐感》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/s/1nvjcD3F,wav,"选自专辑《灼乐感》,Kbps,161M,国语,2016-06-24",国语,灼乐感,161M,卓文萱 - 灼乐感.wav
选自专辑《习惯》,卓文萱,Kbps,2016-06-24,无,http://pan.baidu.com/share/link?shareid=3148754067&uk=1449572974,ape,"选自专辑《习惯》,Kbps,23.1M,国语,2016-06-24",国语,对你的爱,23.1M,卓文萱 - 对你的爱.ape
选自专辑《2014湖南卫视元宵喜乐会》,卓文萱,Kbps,2016-06-24,9pj1,http://pan.baidu.com/s/1kV1CLgj,wav,"选自专辑《2014湖南卫视元宵喜乐会》,Kbps,38.7M,国语,2016-06-24",国语,梁山伯与朱丽叶(live版),38.7M,卓文萱 - 梁山伯与朱丽叶(live版).wav
选自专辑《北上列车》,纵贯线,1046Kbps,2014-12-04,rr64,http://pan.baidu.com/s/1i3kT2Mp,flac,"选自专辑《北上列车》,1046Kbps,27.2M,国语,2014-12-04",国语,公路,27.2M,纵贯线 - 公路.flac
选自专辑《全线通车》,纵贯线,1411Kbps,2015-03-16,2are,http://pan.baidu.com/s/1c02H5xY,ape,"选自专辑《全线通车》,1411Kbps,365.5M,国语,2015-03-16",国语,专辑《全线通车》整轨无损2CD,365.5M,纵贯线 - 专辑《全线通车》整轨无损2CD.ape
选自专辑《北上列车》,纵贯线,1411Kbps,2015-04-01,b7ak,http://pan.baidu.com/s/18lQsI,wav,"选自专辑《北上列车》,1411Kbps,41.5M,国语,2015-04-01",国语,抱着你,41.5M,纵贯线 - 抱着你.wav
选自专辑《第二册》,子曰,928Kbps,2013-10-02,ajfl,http://pan.baidu.com/s/1c0nGPRq,flac,"选自专辑《第二册》,928Kbps,49.9M,国语,2013-10-02",国语,咿呦,49.9M,子曰 - 咿呦.flac
选自专辑《中国好声音》,周深,2304Kbps,2014-07-26,xggr,http://pan.baidu.com/s/1qWJOdkS,wav,"选自专辑《中国好声音》,2304Kbps,55.8M,国语,2014-07-26",国语,欢颜,55.8M,周深 - 欢颜.wav
选自专辑《你那里下雪了吗》,周亮,837Kbps,2014-01-29,o4gg,http://pan.baidu.com/s/1i3Dpc0H,flac,"选自专辑《你那里下雪了吗》,837Kbps,25.5M,国语,2014-01-29",国语,你那里下雪了吗,25.5M,周亮 - 你那里下雪了吗.flac
选自专辑《第一期 导师收歌》,周三,1411Kbps,2014-03-14,kcq3,http://pan.baidu.com/s/1bnCL3GF,wav,"选自专辑《第一期 导师收歌》,1411Kbps,39.8M,国语,2014-03-14",国语,一个歌手的情书,39.8M,周三 - 一个歌手的情书.wav
选自专辑《大鱼》,周深,Kbps,2017-05-08,无,http://pan.baidu.com/s/1nvymVzF,flac,"选自专辑《大鱼》,Kbps,29M,国语,2017-05-08",国语,大鱼,29M,周深 - 大鱼.flac
选自专辑《夏天》,周迅,855Kbps,2013-08-25,odbh,http://pan.baidu.com/s/1ntiFegp,ape,"选自专辑《夏天》,855Kbps,30.6M,国语,2013-08-25",国语,看海,30.6M,周迅 - 看海.ape
选自专辑《浓情淡如你》,周深,Kbps,2017-06-13,r94r,http://pan.baidu.com/s/1ge9Ghfd,flac,"选自专辑《浓情淡如你》,Kbps,34.3M,国语,2017-06-13",国语,浓情淡如你 电影《绣春刀·修罗战场》宣传曲,34.3M,周深 - 浓情淡如你 电影《绣春刀·修罗战场》宣传曲.flac
选自专辑《真的好想你》,周冰倩,908Kbps,2014-09-09,1fos,http://pan.baidu.com/s/1i3CBK3N,ape,"选自专辑《真的好想你》,908Kbps,27.7M,国语,2014-09-09",国语,真的好想你,27.7M,周冰倩 - 真的好想你.ape
选自专辑《Continue》,周柏豪,815Kbps,2013-12-27,juc3,http://pan.baidu.com/s/1kT5d2oZ,ape,"选自专辑《Continue》,815Kbps,18.6M,粤语,2013-12-27",粤语,一事无成,18.6M,周柏豪 - 一事无成.ape
选自专辑《试音钟明秋》,钟明秋,1411Kbps,2015-09-01,1tev,http://pan.baidu.com/s/1c0lpW7e,wav,"选自专辑《试音钟明秋》,1411Kbps,583.9M,国语,2015-09-01",国语,专辑《试音钟明秋》整规无损,583.9M,钟明秋 - 专辑《试音钟明秋》整规无损.wav
选自专辑《诗人与情人》,钟镇涛,847Kbps,2013-09-03,iva1,http://pan.baidu.com/s/1kT2vOOJ,ape,"选自专辑《诗人与情人》,847Kbps,28.5M,国语,2013-09-03",国语,只要你过得比我好,28.5M,钟镇涛 - 只要你过得比我好.ape
选自专辑《Follow》,周柏豪,845Kbps,2015-02-09,y8zd,http://pan.baidu.com/s/1jGJzpie,flac,"选自专辑《Follow》,845Kbps,23.0M,粤语,2015-02-09",粤语,够钟,23.0M,周柏豪 - 够钟.flac
选自专辑《情变》,钟镇涛,773Kbps,2014-01-26,kb3f,http://pan.baidu.com/s/1c0re8a0,ape,"选自专辑《情变》,773Kbps,24.0M,粤语,2014-01-26",粤语,害怕,24.0M,钟镇涛 - 害怕.ape
选自专辑《给自己的信》,钟舒漫,812Kbps,2014-02-28,w6wk,http://pan.baidu.com/s/1pJ8toD1,ape,"选自专辑《给自己的信》,812Kbps,25.6M,国语,2014-02-28",国语,给自己的信,25.6M,钟舒漫 - 给自己的信.ape
选自专辑《真经典 - 钟镇涛》,钟镇涛,839Kbps,2014-05-16,czs5,http://pan.baidu.com/s/1pJiALwZ,flac,"选自专辑《真经典 - 钟镇涛》,839Kbps,24.5M,粤语,2014-05-16",粤语,让一切随风,24.5M,钟镇涛 - 让一切随风.flac
选自专辑《简简单单的生活》,钟镇涛,1411Kbps,2015-02-09,zlop,http://pan.baidu.com/s/1o6oOUKi,wav,"选自专辑《简简单单的生活》,1411Kbps,44.4M,国语,2015-02-09",国语,漫漫人生路,44.4M,钟镇涛 - 漫漫人生路.wav
选自专辑《情变》,钟镇涛,810Kbps,2014-01-26,pbvn,http://pan.baidu.com/s/1sjLMjF3,ape,"选自专辑《情变》,810Kbps,23.1M,粤语,2014-01-26",粤语,情变,23.1M,钟镇涛 - 情变.ape
选自专辑《B计划》,钟镇涛,824Kbps,2014-01-26,sxcm,http://pan.baidu.com/s/1o60n9u6,ape,"选自专辑《B计划》,824Kbps,33.4M,粤语,2014-01-26",粤语,烟花,33.4M,钟镇涛 - 烟花.ape
选自专辑《舍不得》,钟镇涛,1411Kbps,2015-02-28,6kpo,http://pan.baidu.com/s/1c0eu0uc,wav,"选自专辑《舍不得》,1411Kbps,49.9M,国语,2015-02-28",国语,舍不得,49.9M,钟镇涛 - 舍不得.wav
选自专辑《绊／夏夕空》,中孝介,800Kbps,2014-03-21,htcs,http://pan.baidu.com/s/1bnCf5yZ,flac,"选自专辑《绊／夏夕空》,800Kbps,27.6M,日语,2014-03-21",日语,夏夕空,27.6M,中孝介 - 夏夕空.flac
选自专辑《20世纪中感动全日本的歌曲》,中山美穂,926Kbps,2013-12-18,okbu,http://pan.baidu.com/s/1jGieVYm,ape,"选自专辑《20世纪中感动全日本的歌曲》,926Kbps,27.8M,日语,2013-12-18",日语,世界中の誰よりきっと,27.8M,中山美穂 - 世界中の誰よりきっと.ape
选自专辑《海角七号》,中孝介,523Kbps,2014-12-02,wjk1,http://pan.baidu.com/s/1i3BXLT7,ape,"选自专辑《海角七号》,523Kbps,13.4M,日语,2014-12-02",日语,各自远扬,13.4M,中孝介 - 各自远扬.ape
选自专辑《B计划》,钟镇涛,1411Kbps,2015-05-07,33gk,http://pan.baidu.com/s/1hqGOAzE,wav,"选自专辑《B计划》,1411Kbps,32.5M,粤语,2015-05-07",粤语,活在纪念中,32.5M,钟镇涛 - 活在纪念中.wav
选自专辑《海角七号》,中孝介,756Kbps,2015-01-03,jjxz,http://pan.baidu.com/s/1eQ7vcsy,flac,"选自专辑《海角七号》,756Kbps,28.5M,日语,2015-01-03",日语,野玫瑰,28.5M,中孝介 - 野玫瑰.flac
选自专辑《最动听的周启生》,周启生,858Kbps,2014-06-18,7492,http://pan.baidu.com/s/1bp3nwYV,ape,"选自专辑《最动听的周启生》,858Kbps,21.5M,粤语,2014-06-18",粤语,天长地久,21.5M,周启生 - 天长地久.ape
选自专辑《Once Upon A Time》,周启生,797Kbps,2015-08-08,pvdr,http://pan.baidu.com/s/1gdyFqJx,flac,"选自专辑《Once Upon A Time》,797Kbps,20.8M,粤语,2015-08-08",粤语,离乡别井,20.8M,周启生 - 离乡别井.flac
选自专辑《Love Love Love》,钟嘉欣,838Kbps,2014-01-17,2hks,http://pan.baidu.com/s/1bnitiCv,flac,"选自专辑《Love Love Love》,838Kbps,23.2M,粤语,2014-01-17",粤语,最幸福的事,23.2M,钟嘉欣 - 最幸福的事.flac
选自专辑《周启生1991》,周启生,1411Kbps,2015-10-06,2s57,http://pan.baidu.com/s/1ntu3ybR,wav,"选自专辑《周启生1991》,1411Kbps,41.7M,粤语,2015-10-06",粤语,太胡闹,41.7M,周启生 - 太胡闹.wav
