album,author,bits,date,download_password,download_url,file_format,info,language,music,size,title
选自专辑《外婆的澎湖湾》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1pKAJDpD,wav,"选自专辑《外婆的澎湖湾》,Kbps,40.1M,国语,2017-05-04",国语,外婆的澎湖湾,40.1M,赵鹏 - 外婆的澎湖湾.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1geFJC6B,wav,"选自专辑《人声低音共鸣》,Kbps,39.8M,国语,2017-05-04",国语,相思河畔,39.8M,赵鹏 - 相思河畔.wav
选自专辑《王者无疆》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1o7J9od8,wav,"选自专辑《王者无疆》,Kbps,54.8M,国语,2017-05-04",国语,想说爱你不容易,54.8M,赵鹏 - 想说爱你不容易.wav
选自专辑《小城故事》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1pKQYKfL,wav,"选自专辑《小城故事》,Kbps,33.1M,国语,2017-05-04",国语,小城故事,33.1M,赵鹏 - 小城故事.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1jIwqWZG,wav,"选自专辑《低音炮3套车》,Kbps,40.1M,国语,2017-05-04",国语,海恋,40.1M,赵鹏 - 海恋.wav
选自专辑《低音王朝I 你的眼神》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1qXELvPy,ape,"选自专辑《低音王朝I 你的眼神》,Kbps,49.6M,国语,2017-05-04",国语,鸿雁,49.6M,赵鹏 - 鸿雁.ape
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1slVoBu9,wav,"选自专辑《人声低音共鸣》,Kbps,48.2M,国语,2017-05-04",国语,几多愁,48.2M,赵鹏 - 几多愁.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1jIqRv3w,wav,"选自专辑《人声低音共鸣》,Kbps,41.1M,国语,2017-05-04",国语,假如我是真的,41.1M,赵鹏 - 假如我是真的.wav
选自专辑《低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1bE7YAa,wav,"选自专辑《低音共鸣》,Kbps,47.1M,国语,2017-05-04",国语,落红泪,47.1M,赵鹏 - 落红泪.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1eRHhFdo,wav,"选自专辑《低音炮3套车》,Kbps,48.5M,国语,2017-05-04",国语,踏浪,48.5M,赵鹏 - 踏浪.wav
选自专辑《乌兰巴托的夜晚》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1i51IGEL,wav,"选自专辑《乌兰巴托的夜晚》,Kbps,M,国语,2017-05-04",国语,乌兰巴托的夜晚,,赵鹏 - 乌兰巴托的夜晚.wav
选自专辑《王者无疆》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1geLj0gb,wav,"选自专辑《王者无疆》,Kbps,45.9M,国语,2017-05-04",国语,野花,45.9M,赵鹏 - 野花.wav
选自专辑《月光森林》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1eSwzleE,wav,"选自专辑《月光森林》,Kbps,51.5M,国语,2017-05-04",国语,夜色如水,51.5M,赵鹏 - 夜色如水.wav
选自专辑《一生守侯》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1eSd2teM,wav,"选自专辑《一生守侯》,Kbps,61.1M,国语,2017-05-04",国语,一生守候,61.1M,赵鹏 - 一生守候.wav
选自专辑《月光森林》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1jIsnr4U,wav,"选自专辑《月光森林》,Kbps,42.1M,国语,2017-05-04",国语,月光森林,42.1M,赵鹏 - 月光森林.wav
选自专辑《再低音一次》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1skJ3emL,wav,"选自专辑《再低音一次》,Kbps,47.5M,国语,2017-05-04",国语,殇,47.5M,赵鹏 - 殇.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1c180J1A,flac,"选自专辑《低音炮3套车》,Kbps,26.4M,国语,2017-06-21",国语,春天里,26.4M,赵鹏 - 春天里.flac
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1gfsvOmn,flac,"选自专辑《低音炮3套车》,Kbps,26.1M,国语,2017-06-21",国语,花房姑娘,26.1M,赵鹏 - 花房姑娘.flac
选自专辑《低音共鸣》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1hrZwUag,flac,"选自专辑《低音共鸣》,Kbps,31.8M,国语,2017-06-21",国语,懂你,31.8M,赵鹏 - 懂你.flac
选自专辑《低音共鸣》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1nvp1JDn,flac,"选自专辑《低音共鸣》,Kbps,26.9M,国语,2017-06-21",国语,童年,26.9M,赵鹏 - 童年.flac
选自专辑《低音共鸣》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1c2mwpCc,flac,"选自专辑《低音共鸣》,Kbps,28.7M,粤语,2017-06-21",粤语,一场游戏一场梦,28.7M,赵鹏 - 一场游戏一场梦.flac
选自专辑《情深深雨蒙蒙》,赵薇,1411Kbps,2015-02-16,7ex7,http://pan.baidu.com/s/1hqJ33zm,wav,"选自专辑《情深深雨蒙蒙》,1411Kbps,60.4M,国语,2015-02-16",国语,离别的车站,60.4M,赵薇 - 离别的车站.wav
选自专辑《双》,赵薇,1411Kbps,2015-08-07,cjhi,http://pan.baidu.com/s/1eQrVCEA,wav,"选自专辑《双》,1411Kbps,43.6M,国语,2015-08-07",国语,我和上官燕,43.6M,赵薇 - 我和上官燕.wav
选自专辑《还珠格格 音乐全记录》,赵薇,926Kbps,2014-05-21,ikyd,http://pan.baidu.com/s/1vmIQy,ape,"选自专辑《还珠格格 音乐全记录》,926Kbps,22.4M,国语,2014-05-21",国语,自从有了你,22.4M,赵薇 - 自从有了你.ape
选自专辑《双》,赵薇,1411Kbps,2015-10-20,5fb8,http://pan.baidu.com/s/1mg8dFle,wav,"选自专辑《双》,1411Kbps,52.4M,国语,2015-10-20",国语,发现,52.4M,赵薇 - 发现.wav
选自专辑《左耳》,赵薇,Kbps,2016-05-06,urg4,http://pan.baidu.com/s/1i50drG5,flac,"选自专辑《左耳》,Kbps,19.18MBM,国语,2016-05-06",国语,左耳,19.18MBM,赵薇 - 左耳.flac
选自专辑《情深深雨濛濛音乐全记录》,赵薇,1411Kbps,2015-06-30,73py,http://pan.baidu.com/s/1i32Cu1Z,wav,"选自专辑《情深深雨濛濛音乐全记录》,1411Kbps,47.6M,国语,2015-06-30",国语,情深深雨蒙蒙,47.6M,赵薇 - 情深深雨蒙蒙.wav
选自专辑《飞图20周年纪念精选大碟》,赵学而,1411Kbps,2015-06-09,ex4q,http://pan.baidu.com/s/1hq3sQAo,wav,"选自专辑《飞图20周年纪念精选大碟》,1411Kbps,39.5M,粤语,2015-06-09",粤语,我恨我是女人,39.5M,赵学而 - 我恨我是女人.wav
选自专辑《飘》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=49626003&uk=3797276610,flac,"选自专辑《飘》,Kbps,26.4M,国语,2016-05-09",国语,一直下雨的星期天,26.4M,赵薇 - 一直下雨的星期天.flac
选自专辑《Swallow》,赵薇,Kbps,2016-05-09,krhv,http://pan.baidu.com/s/1pLrdQzT,wav,"选自专辑《Swallow》,Kbps,36M,国语,2016-05-09",国语,有一个姑娘,36M,赵薇 - 有一个姑娘.wav
选自专辑《Swallow小燕子》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3470191931&uk=20177646&fid=460044762678454,flac,"选自专辑《Swallow小燕子》,Kbps,308M,国语,2016-05-09",国语,Swallow,308M,赵薇 - Swallow.flac
选自专辑《SWALLOW 小燕子》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=1446958174&uk=3679924179&fid=439184655097945,wav,"选自专辑《SWALLOW 小燕子》,Kbps,34.7M,国语,2016-05-09",国语,自从有了你,34.7M,赵薇 - 自从有了你.wav
选自专辑《双》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3470191931&uk=20177646&fid=460044762678454,flac,"选自专辑《双》,Kbps,301M,国语,2016-05-09",国语,《双》专辑,301M,赵薇 - 《双》专辑.flac
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3476286426&uk=20177646&fid=59591219749410,ape,"选自专辑《天使旅行箱》,Kbps,260M,国语,2016-05-09",国语,天使旅行箱专辑,260M,赵薇 - 天使旅行箱专辑.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=414443616145512,ape,"选自专辑《天使旅行箱》,Kbps,23.3M,国语,2016-05-10",国语,大城小恋,23.3M,赵薇 - 大城小恋.ape
选自专辑《最后一次分手》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3479266567&uk=20177646&fid=1011445873298037,ape,"选自专辑《最后一次分手》,Kbps,373.4M,国语,2016-05-09",国语,最后一次分手,373.4M,赵薇 - 最后一次分手.ape
选自专辑《情深深雨蒙蒙》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3920425637&uk=2149313098&fid=492404646989184,flac,"选自专辑《情深深雨蒙蒙》,Kbps,30.2M,国语,2016-05-09",国语,情深深雨蒙蒙,30.2M,赵薇 - 情深深雨蒙蒙.flac
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=855247654847495,ape,"选自专辑《天使旅行箱》,Kbps,24.8M,国语,2016-05-10",国语,天使旅行箱,24.8M,赵薇 - 天使旅行箱.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=861659561002658,ape,"选自专辑《天使旅行箱》,Kbps,25.9M,国语,2016-05-10",国语,蝶,25.9M,赵薇 - 蝶.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=953853530757797,ape,"选自专辑《天使旅行箱》,Kbps,29.8M,英语,2016-05-10",英语,Morning Love,29.8M,赵薇 - Morning Love.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/s/1i5EWGgH,ape,"选自专辑《天使旅行箱》,Kbps,29.9M,国语,2016-05-10",国语,旧玩具,29.9M,赵薇 - 旧玩具.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/s/1jIjM4vW,ape,"选自专辑《天使旅行箱》,Kbps,24.6M,国语,2016-05-10",国语,多爱自己一些,24.6M,赵薇 - 多爱自己一些.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/s/1c20TF7i,ape,"选自专辑《天使旅行箱》,Kbps,26.6M,国语,2016-05-10",国语,恰恰爱,26.6M,赵薇 - 恰恰爱.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/s/1dE7xa8L,ape,"选自专辑《天使旅行箱》,Kbps,23M,国语,2016-05-10",国语,小蜜蜂,23M,赵薇 - 小蜜蜂.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/s/1bo8Nbkj,ape,"选自专辑《天使旅行箱》,Kbps,24.3M,国语,2016-05-10",国语,树叶的崇拜,24.3M,赵薇 - 树叶的崇拜.ape
选自专辑《恶作剧2吻 (湘琴版)》,赵咏华,873Kbps,2014-08-26,utpl,http://pan.baidu.com/s/1mgkLc0o,ape,"选自专辑《恶作剧2吻 (湘琴版)》,873Kbps,21.2M,国语,2014-08-26",国语,藏在微笑里的秘密,21.2M,赵咏华 - 藏在微笑里的秘密.ape
选自专辑《滚石香港黄金十年系列-赵咏华精选》,赵咏华,846Kbps,2015-03-14,mrg7,http://pan.baidu.com/s/1nt7iMxF,ape,"选自专辑《滚石香港黄金十年系列-赵咏华精选》,846Kbps,442.2M,国语,2015-03-14",国语,专辑《滚石香港黄金十年系列-赵咏华精选》整轨无损,442.2M,赵咏华 - 专辑《滚石香港黄金十年系列-赵咏华精选》整轨无损.ape
选自专辑《风的颜色》,赵咏华,781Kbps,2015-06-11,4kqp,http://pan.baidu.com/s/1ntiQcXj,flac,"选自专辑《风的颜色》,781Kbps,34.2M,国语,2015-06-11",国语,风的颜色,34.2M,赵咏华 - 风的颜色.flac
选自专辑《相见太晚 新歌+精选辑》,赵咏华,1411Kbps,2015-06-30,b333,http://pan.baidu.com/s/1mgnDhGG,wav,"选自专辑《相见太晚 新歌+精选辑》,1411Kbps,51.1M,国语,2015-06-30",国语,听我唱这首歌,51.1M,赵咏华 - 听我唱这首歌.wav
选自专辑《拥华》,赵咏华,1411Kbps,2015-07-29,s8ng,http://pan.baidu.com/s/1bnbgh2J,wav,"选自专辑《拥华》,1411Kbps,59.9M,国语,2015-07-29",国语,像我这样的女人,59.9M,赵咏华 - 像我这样的女人.wav
选自专辑《相见太晚》,赵咏华,798Kbps,2014-08-15,vbw8,http://pan.baidu.com/s/1i39TuOd,ape,"选自专辑《相见太晚》,798Kbps,30.7M,国语,2014-08-15",国语,相见太晚,30.7M,赵咏华 - 相见太晚.ape
选自专辑《如果寂寞了》,郑晓填,1061Kbps,2015-05-04,73ht,http://pan.baidu.com/s/1o65MVGY,flac,"选自专辑《如果寂寞了》,1061Kbps,26.2M,国语,2015-05-04",国语,如果寂寞了,26.2M,郑晓填 - 如果寂寞了.flac
选自专辑《20世纪中华歌坛名人百集珍藏版》,郑绪岚,796Kbps,2014-09-16,v3gx,http://pan.baidu.com/s/1dD3prtn,ape,"选自专辑《20世纪中华歌坛名人百集珍藏版》,796Kbps,23.8M,国语,2014-09-16",国语,牧羊曲,23.8M,郑绪岚 - 牧羊曲.ape
选自专辑《70年代火红的年代经典全记录》,郑绪岚,960Kbps,2015-02-17,4qau,http://pan.baidu.com/s/1pJqOT8B,flac,"选自专辑《70年代火红的年代经典全记录》,960Kbps,20.8M,国语,2015-02-17",国语,太阳岛上,20.8M,郑绪岚 - 太阳岛上.flac
选自专辑《齐天大盛》,至上励合,1411Kbps,2015-02-04,2xhw,http://pan.baidu.com/s/1qWp0Dgo,wav,"选自专辑《齐天大盛》,1411Kbps,42.3M,国语,2015-02-04",国语,再见了我的爱,42.3M,至上励合 - 再见了我的爱.wav
选自专辑《4OUR MEN》,至上励合,1060Kbps,2015-07-01,cs54,http://pan.baidu.com/s/18Wtgq,ape,"选自专辑《4OUR MEN》,1060Kbps,30.6M,国语,2015-07-01",国语,鸭梨大,30.6M,至上励合 - 鸭梨大.ape
选自专辑《中国歌唱家系列之牧羊曲》,郑绪岚,776Kbps,2015-08-07,jy1r,http://pan.baidu.com/s/1e6CI6,flac,"选自专辑《中国歌唱家系列之牧羊曲》,776Kbps,17.8M,国语,2015-08-07",国语,飞吧鸽子,17.8M,郑绪岚 - 飞吧鸽子.flac
选自专辑《齐天大盛》,至上励合,940Kbps,2014-05-12,3599,http://pan.baidu.com/s/1o6v4bl4,ape,"选自专辑《齐天大盛》,940Kbps,25.8M,国语,2014-05-12",国语,繁星,25.8M,至上励合 - 繁星.ape
选自专辑《降临》,至上励合,928Kbps,2014-07-02,xg67,http://pan.baidu.com/s/1mgqj0Be,ape,"选自专辑《降临》,928Kbps,25.3M,国语,2014-07-02",国语,棉花糖,25.3M,至上励合 - 棉花糖.ape
选自专辑《赵小雷》,赵雷,1411Kbps,2014-01-02,r1h9,http://pan.baidu.com/s/1sjuHRGD,wav,"选自专辑《赵小雷》,1411Kbps,55.6M,国语,2014-01-02",国语,南方姑娘,55.6M,赵雷 - 南方姑娘.wav
选自专辑《中国好歌曲 第四期》,赵雷,786Kbps,2014-02-10,8ijv,http://pan.baidu.com/s/1ntqMzX3,ape,"选自专辑《中国好歌曲 第四期》,786Kbps,17.2M,国语,2014-02-10",国语,画,17.2M,赵雷 - 画.ape
选自专辑《赵小雷》,赵雷,1411Kbps,2015-01-19,kxd2,http://pan.baidu.com/s/1pJv7OCV,wav,"选自专辑《赵小雷》,1411Kbps,463.7M,国语,2015-01-19",国语,专辑《赵小雷》整轨无损,463.7M,赵雷 - 专辑《赵小雷》整轨无损.wav
选自专辑《爱一点》,章子怡,1411Kbps,2014-04-07,fy7a,http://pan.baidu.com/s/1c0ktfW0,wav,"选自专辑《爱一点》,1411Kbps,51.6M,国语,2014-04-07",国语,爱一点,51.6M,章子怡 - 爱一点.wav
选自专辑《失恋十四行》,张真,922Kbps,2013-12-07,lhfx,http://pan.baidu.com/s/1bncn8w3,flac,"选自专辑《失恋十四行》,922Kbps,24.7M,国语,2013-12-07",国语,我被青春撞了一下腰,24.7M,张真 - 我被青春撞了一下腰.flac
选自专辑《吉姆餐厅》,赵雷,768Kbps,2015-02-08,p7nh,http://pan.baidu.com/s/1qWkHbAk,flac,"选自专辑《吉姆餐厅》,768Kbps,33.9M,国语,2015-02-08",国语,小屋,33.9M,赵雷 - 小屋.flac
选自专辑《中国好声音》,张卓含威,2304Kbps,2014-09-21,oacy,http://pan.baidu.com/s/1jG86m2a,wav,"选自专辑《中国好声音》,2304Kbps,55.9M,国语,2014-09-21",国语,爱,55.9M,张卓含威 - 爱.wav
选自专辑《中国好声音》,张卓含威,2304Kbps,2014-08-22,onwd,http://pan.baidu.com/s/1bnzWuV9,wav,"选自专辑《中国好声音》,2304Kbps,45.6M,国语,2014-08-22",国语,笨小孩,45.6M,张卓含威 - 笨小孩.wav
选自专辑《十指紧扣》,张智霖,851Kbps,2014-01-23,hft3,http://pan.baidu.com/s/1sjk81bf,ape,"选自专辑《十指紧扣》,851Kbps,24.7M,粤语,2014-01-23",粤语,十指紧扣,24.7M,张智霖 - 十指紧扣.ape
选自专辑《飞图20周年纪念精选大碟》,张智霖,932Kbps,2014-03-08,o68s,http://pan.baidu.com/s/1nt1BLrF,ape,"选自专辑《飞图20周年纪念精选大碟》,932Kbps,31.4M,粤语,2014-03-08",粤语,片片枫叶情,31.4M,张智霖 - 片片枫叶情.ape
选自专辑《爱上合唱》,张智霖,841Kbps,2014-07-04,dlce,http://pan.baidu.com/s/1B2BJC,ape,"选自专辑《爱上合唱》,841Kbps,28.1M,粤语,2014-07-04",粤语,现代爱情故事,28.1M,张智霖 - 现代爱情故事.ape
选自专辑《相反的我》,张芸京,996Kbps,2014-05-17,l4wg,http://pan.baidu.com/s/1kToi8ZH,ape,"选自专辑《相反的我》,996Kbps,33.9M,国语,2014-05-17",国语,相反的我,33.9M,张芸京 - 相反的我.ape
选自专辑《雪碧音碰音明星榜》,张芸京,948Kbps,2014-05-01,3m3l,http://pan.baidu.com/s/14FZ90,ape,"选自专辑《雪碧音碰音明星榜》,948Kbps,24.1M,国语,2014-05-01",国语,偏爱,24.1M,张芸京 - 偏爱.ape
选自专辑《爱与梦(新曲+精选)》,张智霖,880Kbps,2014-08-08,gitu,http://pan.baidu.com/s/1jG7Pr6Y,ape,"选自专辑《爱与梦(新曲+精选)》,880Kbps,25.8M,粤语,2014-08-08",粤语,怎会如此,25.8M,张智霖 - 怎会如此.ape
选自专辑《太阳雨》,张行,1411Kbps,2014-06-17,97x1,http://pan.baidu.com/s/1c0s1v5Q,wav,"选自专辑《太阳雨》,1411Kbps,421.4M,国语,2014-06-17",国语,专辑《太阳雨》整轨无损,421.4M,张行 - 专辑《太阳雨》整轨无损.wav
选自专辑《破天荒》,张芸京,927Kbps,2015-03-09,enot,http://pan.baidu.com/s/1kTxduYj,ape,"选自专辑《破天荒》,927Kbps,33.2M,国语,2015-03-09",国语,黑裙子,33.2M,张芸京 - 黑裙子.ape
选自专辑《EMI 星声传集之张智霖》,张智霖,531Kbps,2015-03-08,nczo,http://pan.baidu.com/s/1g0D22,flac,"选自专辑《EMI 星声传集之张智霖》,531Kbps,16.1M,粤语,2015-03-08",粤语,生生世世,16.1M,张智霖 - 生生世世.flac
选自专辑《十月初五的月光(原声大碟)》,张智霖,841Kbps,2014-09-04,3ddq,http://pan.baidu.com/s/1dDIj4fZ,ape,"选自专辑《十月初五的月光(原声大碟)》,841Kbps,25.3M,粤语,2014-09-04",粤语,祝君好,25.3M,张智霖 - 祝君好.ape
选自专辑《EMI 星声传集之张智霖》,张智霖,1411Kbps,2015-04-20,n8xu,http://pan.baidu.com/s/1qW9LXVm,wav,"选自专辑《EMI 星声传集之张智霖》,1411Kbps,47.1M,粤语,2015-04-20",粤语,逗我开心吧,47.1M,张智霖 - 逗我开心吧.wav
选自专辑《张玉华(同名专辑)》,张玉华,782Kbps,2014-08-20,1yyp,http://pan.baidu.com/s/1ntG6Xgl,ape,"选自专辑《张玉华(同名专辑)》,782Kbps,23.8M,国语,2014-08-20",国语,原谅,23.8M,张玉华 - 原谅.ape
选自专辑《宝贝》,张悬,696Kbps,2014-09-24,smpz,http://pan.baidu.com/s/1pJG3Bir,ape,"选自专辑《宝贝》,696Kbps,12.1M,国语,2014-09-24",国语,宝贝,12.1M,张悬 - 宝贝.ape
选自专辑《自言自语》,张瑜,1411Kbps,2015-03-24,uqum,http://pan.baidu.com/s/1qWkc1re,wav,"选自专辑《自言自语》,1411Kbps,582.3M,国语,2015-03-24",国语,专辑《自言自语》整轨无损,582.3M,张瑜 - 专辑《自言自语》整轨无损.wav
选自专辑《吉吉》,张远喆,1411Kbps,2014-08-17,flgv,http://pan.baidu.com/s/1dDmuUFR,wav,"选自专辑《吉吉》,1411Kbps,64.7M,国语,2014-08-17",国语,不配做你男朋友,64.7M,张远喆 - 不配做你男朋友.wav
选自专辑《城市》,张悬,980Kbps,2014-11-25,6u31,http://pan.baidu.com/s/1jGBpDJo,flac,"选自专辑《城市》,980Kbps,33.4M,国语,2014-11-25",国语,城市,33.4M,张悬 - 城市.flac
选自专辑《艋舺 电影原声带》,张悬,728Kbps,2014-10-09,iq2p,http://pan.baidu.com/s/1kT1Jh7h,flac,"选自专辑《艋舺 电影原声带》,728Kbps,17.9M,国语,2014-10-09",国语,我想你要走了,17.9M,张悬 - 我想你要走了.flac
选自专辑《神的游戏》,张悬,674Kbps,2015-01-11,twdx,http://pan.baidu.com/s/1kTzd6ib,flac,"选自专辑《神的游戏》,674Kbps,19.4M,国语,2015-01-11",国语,如何,19.4M,张悬 - 如何.flac
选自专辑《神的游戏》,张悬,843Kbps,2015-01-12,ajtg,http://pan.baidu.com/s/1nt2xsbJ,flac,"选自专辑《神的游戏》,843Kbps,28.3M,国语,2015-01-12",国语,艳火,28.3M,张悬 - 艳火.flac
选自专辑《中国好声音第二季第二辑-CDB》,张欣奕,1100Kbps,2014-03-06,xryd,http://pan.baidu.com/s/1mgoM8JI,flac,"选自专辑《中国好声音第二季第二辑-CDB》,1100Kbps,14.2M,国语,2014-03-06",国语,超级爆,14.2M,张欣奕 - 超级爆.flac
选自专辑《亲爱的…我还不知道》,张悬,700Kbps,2014-12-20,grpl,http://pan.baidu.com/s/1bnD6vcN,flac,"选自专辑《亲爱的…我还不知道》,700Kbps,23.4M,国语,2014-12-20",国语,喜欢,23.4M,张悬 - 喜欢.flac
选自专辑《My life will》,张悬,1411Kbps,2015-03-26,p9sk,http://pan.baidu.com/s/1CVtNK,wav,"选自专辑《My life will》,1411Kbps,348.0M,国语,2015-03-26",国语,专辑《My life will》整轨无损,348.0M,张悬 - 专辑《My life will》整轨无损.wav
选自专辑《亲爱的…我还不知道》,张悬,1411Kbps,2015-06-25,3g2c,http://pan.baidu.com/s/1kTrI28n,wav,"选自专辑《亲爱的…我还不知道》,1411Kbps,58.6M,国语,2015-06-25",国语,并不,58.6M,张悬 - 并不.wav
选自专辑《亲爱的…我还不知道》,张悬,1411Kbps,2015-06-29,7gvs,http://pan.baidu.com/s/1gdvoIkF,wav,"选自专辑《亲爱的…我还不知道》,1411Kbps,53.1M,国语,2015-06-29",国语,模样,53.1M,张悬 - 模样.wav
选自专辑《神的游戏》,张悬,888Kbps,2015-08-26,q8tw,http://pan.baidu.com/s/1i3gvCsX,flac,"选自专辑《神的游戏》,888Kbps,31.5M,国语,2015-08-26",国语,玫瑰色的你,31.5M,张悬 - 玫瑰色的你.flac
选自专辑《20世纪中华歌坛名人百集珍藏版》,张也,845Kbps,2014-04-03,mt0a,http://pan.baidu.com/s/1eQ9r4X0,flac,"选自专辑《20世纪中华歌坛名人百集珍藏版》,845Kbps,21.7M,国语,2014-04-03",国语,人间第一情,21.7M,张也 - 人间第一情.flac
选自专辑《走进新时代》,张也,777Kbps,2015-02-20,91r6,http://pan.baidu.com/s/1pJ3GnRd,ape,"选自专辑《走进新时代》,777Kbps,22.7M,国语,2015-02-20",国语,走进新时代,22.7M,张也 - 走进新时代.ape
选自专辑《亲爱的…我还不知道》,张悬,1411Kbps,2015-06-30,3re2,http://pan.baidu.com/s/1hqF58Rq,wav,"选自专辑《亲爱的…我还不知道》,1411Kbps,30.8M,国语,2015-06-30",国语,儿歌,30.8M,张悬 - 儿歌.wav
选自专辑《走进新时代》,张也,755Kbps,2015-06-29,k6h2,http://pan.baidu.com/s/1jGJ5lWU,flac,"选自专辑《走进新时代》,755Kbps,19.1M,国语,2015-06-29",国语,万事如意,19.1M,张也 - 万事如意.flac
选自专辑《What is Love》,张智霖,875Kbps,2015-06-30,i5f4,http://pan.baidu.com/s/1fjZ4q,flac,"选自专辑《What is Love》,875Kbps,24.7M,粤语,2015-06-30",粤语,恋上外星人,24.7M,张智霖 - 恋上外星人.flac
